Name,v_r(km/s),v_r_std(km/s),v_phi(rad/s),v_phi_std(rad/s),v_x(km/s),v_x_std(km/s),v_y(km/s),v_y_std(km/s),v_z(km/s),v_z_std(km/s),j_r(kpc km s^-1),j_r_std(kpc km s^-1),j_phi(kpc s^(-1)),j_phi_std(kpc km s^(-1)),j_x(kpc km s^(-1)),j_x_std(kpc km s^(-1)),j_y(kpc km s^(-1)),j_y_std(kpc km s^(-1)),j_z(kpc km s^(-1)),j_z_std(kpc km s^(-1)),energy_mean(km^2 s^(-2)),energy_std(km^2 s^(-2)),rperi_mean(kpc),rperi_std(kpc),rapo_mean(kpc),rapo_std(kpc),zmax_mean(kpc),zmax_std(kpc),ecc_mean,ecc_std
HE2258-6358,-38.04722995,1.071243167,82.85172115,1.833369162,33.5229314,1.289680592,-35.03664173,0.506757596,75.62677765,2.061856903,235.9471485,2.911862586,458.1431428,10.13249284,-207.8900379,2.1265635,-111.5920407,1.37872172,349.8112135,3.190973926,-175896.1512,324.7584934,2.059392877,0.053077368,8.000504994,0.044609564,5.504501772,0.031100996,0.590621196,0.007835485
SDSSJ0002+2928,-230.806765,0.939721589,40.61585925,0.671982085,226.5168167,1.345450966,-51.45964015,0.181157474,-19.91047124,0.612197449,1096.726751,4.881143283,362.3368939,5.995584794,-1076.342162,3.066433816,210.4687862,0.94028348,62.780991,1.253515448,-149692.4866,228.4860275,0.754925509,0.02091253,15.25072488,0.069146082,5.079891243,0.048255623,0.90566953,0.002506021
SDSSJ0126+0607,113.6722499,1.549929172,-59.08783139,0.451638303,-112.9605124,1.749621282,-64.41187714,0.176088142,320.3332107,1.033983785,698.2079839,18.40823324,-553.0625234,4.069632316,-693.8362858,6.029706438,78.00998868,2.066051931,2692.570922,14.14584222,-113328.8281,426.0679332,9.538854427,0.009371621,27.83251963,0.315627309,27.39347116,0.31675815,0.489472719,0.004503535
SDSSJ0308+0505,278.7769166,0.909340497,21.21880908,0.836627463,-278.7626049,1.348515581,194.5341225,0.01173169,-177.6355713,1.161599419,1530.679666,12.65285814,190.5904414,7.566304128,-1530.601085,5.0302205,15.5099134,0.134264581,936.9713514,15.01975793,-122645.522,296.7462149,1.241939141,0.226580153,26.09846268,0.173698095,24.77759548,0.207592906,0.909252136,0.015962156
SDSSJ0629+8303,13.38648827,1.249830312,-73.86151092,0.713196437,-13.17557733,1.556122026,13.37871355,0.221057976,-21.57717185,1.042576073,465.4556745,3.112348003,-720.630741,6.774633475,-458.1221832,2.455880103,82.29830008,0.584470236,29.21916152,0.940282947,-169757.1038,45.81842593,1.820052286,0.019894863,9.854003134,0.007700253,1.322376734,0.0215248,0.688192573,0.002977379
SDSSJ0912+0216,-4.622639561,0.775520857,-22.89659464,0.943751291,4.603163711,1.24016121,-3.636633325,0.071122776,-9.171177206,0.904647291,658.8073323,4.362984575,-203.2753125,8.355458744,-656.0316815,2.941568259,-60.41114933,0.432209719,10.95469758,0.209054019,-178011.046,27.49829697,0.448836358,0.027158729,8.952894754,0.029709941,4.046903026,0.074230033,0.904527022,0.005652406
SDSSJ1114+1828,195.9101015,0.739377501,-77.58755533,1.50967751,-195.4470182,1.2131684,-159.6135659,0.060445369,137.0432619,1.220436851,833.2936168,8.525482549,-671.9941189,13.0769397,-831.3239158,4.11953205,-57.26062679,0.602166834,273.1411046,6.293678918,-146035.4954,181.9356996,1.923738903,0.045898974,15.79729162,0.05877194,9.818486633,1.055235462,0.782897639,0.00458535
SDSSJ1245-0738,-168.4859612,1.933196348,-122.4389451,2.91309338,161.9491513,1.890478135,13.99654974,0.552314997,10.98496931,1.747835779,362.645901,3.075112023,-886.7423228,21.11533008,-348.5761986,2.385404531,-100.0328922,0.902976955,268.8590769,7.114303032,-159290.9204,685.2575874,3.032316024,0.09584002,11.23525059,0.127154111,5.878658819,0.117638365,0.575041071,0.00694078
SDSSJ1349-0229,-11.13806317,1.062726127,-46.45361414,2.621077306,11.05935933,1.447591538,6.918987467,0.126194048,90.29532705,1.049470693,308.3615691,9.89437024,-313.9857243,17.76160664,-306.182623,4.41704588,-36.59293247,1.180845415,272.0932252,5.12863911,-181385.1933,199.885347,1.167639801,0.086253262,7.302366967,0.018944543,4.741627579,0.156635639,0.724447427,0.017901065
SDSSJ1626+1458,-175.6445328,1.987374602,140.1918916,3.234463966,171.0953489,1.942348539,-162.3871213,0.473333307,178.5483345,1.353733834,200.1794322,12.12691651,839.8873152,19.18371252,-194.9947957,4.797428601,45.26372125,2.74731815,782.8280448,6.972921605,-151848.6617,999.4744511,4.993011136,0.041733533,11.8390892,0.296347003,9.801787224,0.219660527,0.406585548,0.007275852
SDSSJ1646+2824,287.5647966,1.02897721,-277.4949971,1.051096178,-285.7627867,1.425608776,-247.2431741,0.149932737,137.4532743,0.760784836,2595.85028,34.69409285,-2065.319684,7.844045454,-2579.583518,8.27833445,290.1495894,3.973926826,127.9014419,1.641841375,-97853.45024,443.3585868,4.673639297,0.031653895,44.10629402,0.454885883,17.93571508,0.087448756,0.808362143,0.002195866
SDSSJ1734+4316,-178.0739941,5.73962472,-172.5736688,1.34170157,118.8866123,2.278086213,37.80495298,4.280003497,-135.7964197,3.321198798,826.2412324,33.48669655,-1469.847573,12.43507701,-551.6191265,5.605822551,615.1325666,24.95609911,268.5843244,10.89819595,-132207.2707,718.8197164,4.357463822,0.072792666,20.14925322,0.367052801,9.233610754,0.223803802,0.644281172,0.009407918
SDSSJ1836+6317,-221.956721,2.939622295,81.18442667,0.934279812,199.5194045,2.182452884,105.8234381,1.308075364,-88.95856347,1.796887832,1066.667975,23.01420614,753.2586645,8.494609288,-958.8398954,6.122072641,467.338346,10.14290243,92.86536096,4.791655083,-142044.8716,482.5795647,1.765618281,0.034861593,17.3686887,0.189865452,5.106976528,0.116153439,0.815418063,0.004730896
SDSSJ2047+0015,-17.21793663,2.351353461,43.75394654,1.466547336,16.65381457,2.097526527,3.89764592,0.597129744,-336.0572633,1.240571104,376.4063168,11.31648169,295.9206582,9.847536705,-364.0738805,4.602300251,95.56053952,2.890534426,1935.668947,10.88135702,-133778.4768,402.075943,6.783574777,0.01530633,17.60831366,0.192558837,17.42985964,0.19154351,0.443749107,0.004712123
